Participant,Experimental_Group,recruitment_platform,Effects_Perception
19,Not Disclosed,Prolific,2
19,Not Disclosed,Prolific,2
19,Not Disclosed,Prolific,4
19,Not Disclosed,Prolific,4
19,Not Disclosed,Prolific,4
19,Not Disclosed,Prolific,4
19,Not Disclosed,Prolific,4
19,Not Disclosed,Prolific,3.333333333
19,Not Disclosed,Prolific,2.666666667
19,Not Disclosed,Prolific,4
19,Not Disclosed,Prolific,2
19,Not Disclosed,Prolific,2
19,Not Disclosed,Prolific,3
19,Not Disclosed,Prolific,2
19,Not Disclosed,Prolific,2
19,Not Disclosed,Prolific,2
19,Not Disclosed,Prolific,2.333333333
19,Not Disclosed,Prolific,4
19,Not Disclosed,Prolific,2
19,Not Disclosed,Prolific,2.666666667
19,Not Disclosed,Prolific,2.333333333
19,Not Disclosed,Prolific,2.666666667
19,Not Disclosed,Prolific,2
19,Not Disclosed,Prolific,2.666666667
19,Not Disclosed,Prolific,2.666666667
19,Not Disclosed,Prolific,4
19,Not Disclosed,Prolific,1.666666667
19,Not Disclosed,Prolific,2
19,Not Disclosed,Prolific,2
20,Not Disclosed,Prolific,3.666666667
20,Not Disclosed,Prolific,4
20,Not Disclosed,Prolific,3.666666667
20,Not Disclosed,Prolific,2
20,Not Disclosed,Prolific,4
20,Not Disclosed,Prolific,3.666666667
20,Not Disclosed,Prolific,4
20,Not Disclosed,Prolific,3.666666667
20,Not Disclosed,Prolific,4.666666667
20,Not Disclosed,Prolific,2.666666667
20,Not Disclosed,Prolific,3.333333333
20,Not Disclosed,Prolific,1
20,Not Disclosed,Prolific,3
20,Not Disclosed,Prolific,2.666666667
20,Not Disclosed,Prolific,3
20,Not Disclosed,Prolific,1
20,Not Disclosed,Prolific,3.333333333
20,Not Disclosed,Prolific,1
20,Not Disclosed,Prolific,4
20,Not Disclosed,Prolific,3.333333333
20,Not Disclosed,Prolific,2.666666667
20,Not Disclosed,Prolific,1
20,Not Disclosed,Prolific,2.333333333
20,Not Disclosed,Prolific,4.333333333
20,Not Disclosed,Prolific,5
20,Not Disclosed,Prolific,4.666666667
20,Not Disclosed,Prolific,3
20,Not Disclosed,Prolific,3.333333333
20,Not Disclosed,Prolific,1
20,Not Disclosed,Prolific,1.333333333
21,Not Disclosed,Prolific,4.666666667
21,Not Disclosed,Prolific,4
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,4.666666667
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,2
21,Not Disclosed,Prolific,4.666666667
21,Not Disclosed,Prolific,4.333333333
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,2.333333333
21,Not Disclosed,Prolific,4.666666667
21,Not Disclosed,Prolific,4.333333333
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,4
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,3.333333333
21,Not Disclosed,Prolific,4.666666667
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,4.666666667
21,Not Disclosed,Prolific,4
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,4.666666667
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,5
21,Not Disclosed,Prolific,4.333333333
21,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,4.333333333
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,4.666666667
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,5
22,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,3.333333333
23,Not Disclosed,Prolific,3.333333333
23,Not Disclosed,Prolific,4
23,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,4.666666667
23,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,4
23,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,3
23,Not Disclosed,Prolific,4
23,Not Disclosed,Prolific,4
23,Not Disclosed,Prolific,4
23,Not Disclosed,Prolific,2.666666667
23,Not Disclosed,Prolific,4
23,Not Disclosed,Prolific,3
23,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,3.666666667
23,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,4.666666667
23,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,3.333333333
23,Not Disclosed,Prolific,4.333333333
23,Not Disclosed,Prolific,4
23,Not Disclosed,Prolific,4.666666667
23,Not Disclosed,Prolific,2
23,Not Disclosed,Prolific,5
23,Not Disclosed,Prolific,4.333333333
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,2.333333333
24,Not Disclosed,Prolific,2
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,2
24,Not Disclosed,Prolific,3.333333333
24,Not Disclosed,Prolific,2.333333333
24,Not Disclosed,Prolific,3.333333333
24,Not Disclosed,Prolific,2
24,Not Disclosed,Prolific,3
24,Not Disclosed,Prolific,2.666666667
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,3.666666667
24,Not Disclosed,Prolific,3
24,Not Disclosed,Prolific,3.666666667
24,Not Disclosed,Prolific,3.666666667
24,Not Disclosed,Prolific,2.333333333
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,3.666666667
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,2.666666667
24,Not Disclosed,Prolific,4
24,Not Disclosed,Prolific,2.666666667
25,Disclosed,Prolific,5
25,Disclosed,Prolific,4
25,Disclosed,Prolific,3.666666667
25,Disclosed,Prolific,5
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,5
25,Disclosed,Prolific,5
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,3.666666667
25,Disclosed,Prolific,4.333333333
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,1
25,Disclosed,Prolific,5
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4
25,Disclosed,Prolific,5
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,4.666666667
25,Disclosed,Prolific,5
25,Disclosed,Prolific,4
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,4.333333333
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,4
26,Not Disclosed,Prolific,4.333333333
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,4.666666667
26,Not Disclosed,Prolific,3
26,Not Disclosed,Prolific,4.333333333
26,Not Disclosed,Prolific,2.666666667
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,4
26,Not Disclosed,Prolific,5
